TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,VisitModeName,ContinentId,RegionId,CountryId,CityId,UserCityName,UserCountry,UserRegion,UserContinent,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionCityName,AttractionCountryId,AttractionCountry,AttractionType,user_total_visits,user_avg_rating,attraction_total_visits,attraction_avg_rating
68728,10233,2019,4,4,748,5,Friends,3,13,93,2708.0,Chennai (Madras),India,South Asia,Asia,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,4,4.5,5815,4.157523645743766
107723,44791,2016,1,2,737,4,Couples,3,13,93,2682.0,Bangalore,India,South Asia,Asia,1,76,Tanah Lot Temple,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia",Douala,1,Cameroon,Religious Sites,2,4.5,3352,4.19480906921241
200489,80164,2013,3,2,1166,5,Couples,5,18,138,693.0,Atlanta,Georgia,Eastern Europe,Europe,3,34,Malioboro Road,Yogyakarta,N'Djamena,2,Chad,Flea & Street Markets,4,4.25,1324,3.869335347432024
8415,2872,2016,12,2,640,5,Couples,5,17,125,5954.0,Munich,Germany,Central Europe,Europe,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,5,4.4,13198,4.267085922109411
203386,68013,2013,2,2,1171,3,Couples,5,21,163,8745.0,Pontypridd,United Kingdom,Western Europe,Europe,3,91,Merapi Volcano,Yogyakarta,N'Djamena,2,Chad,Volcanos,1,3.0,2235,4.079194630872483
208617,65819,2018,11,2,1278,4,Couples,3,14,101,3230.0,Seminyak,Indonesia,South East Asia,Asia,3,45,Ullen Sentalu Museum,"Jl. Boyong Taman Wisata, 55581 Indonesia",N'Djamena,2,Chad,History Museums,9,4.111111111111111,978,4.2566462167689165
23113,20415,2019,12,3,841,5,Family,4,15,109,1434.0,Melbourne,Australia,Australia,Australia & Oceania,1,92,Waterbom Bali,"Jl. Kartika Plaza, Kuta 80361 Indonesia",Douala,1,Cameroon,Water Parks,2,5.0,6429,4.646601337688598
10847,75532,2016,9,2,640,5,Couples,1,2,5,12.0,Shimoni,Kenya,East Africa,Africa,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,2,5.0,13198,4.267085922109411
71659,81981,2016,9,2,748,5,Couples,4,15,109,1434.0,Melbourne,Australia,Australia,Australia & Oceania,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,1,5.0,5815,4.157523645743766
4363,32116,2017,11,3,640,5,Family,2,8,51,929.0,Dallas,United States,Northern America,America,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,1,5.0,13198,4.267085922109411
208744,73917,2013,12,4,1278,4,Friends,5,20,151,6867.0,Milan,Italy,Southern Europe,Europe,3,45,Ullen Sentalu Museum,"Jl. Boyong Taman Wisata, 55581 Indonesia",N'Djamena,2,Chad,History Museums,4,4.5,978,4.2566462167689165
12930,43630,2016,3,2,640,4,Couples,4,15,109,3981.0,Canberra,Australia,Australia,Australia & Oceania,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,1,4.0,13198,4.267085922109411
203969,84001,2018,4,5,1171,5,Solo,3,14,106,3551.0,Singapore,Singapore,South East Asia,Asia,3,91,Merapi Volcano,Yogyakarta,N'Djamena,2,Chad,Volcanos,2,4.5,2235,4.079194630872483
73532,51608,2015,9,3,748,5,Family,3,11,69,2282.0,Hong Kong,China,East Asia,Asia,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,3,4.0,5815,4.157523645743766
467,61162,2020,1,5,640,2,Solo,3,12,89,2623.0,Dubai,United Arab Emirates,Middle East,Asia,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,1,2.0,13198,4.267085922109411
17691,60458,2016,5,4,640,1,Friends,4,15,109,3915.0,Brisbane,Australia,Australia,Australia & Oceania,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,2,1.5,13198,4.267085922109411
209985,2642,2013,6,2,1297,3,Couples,2,8,51,1517.0,Myrtle Beach,United States,Northern America,America,3,44,Yogyakarta Palace,Yogyakarta,N'Djamena,2,Chad,Historic Sites,2,4.0,798,3.5388471177944862
25194,24713,2017,7,3,841,5,Family,4,15,109,4622.0,Manly,Australia,Australia,Australia & Oceania,1,92,Waterbom Bali,"Jl. Kartika Plaza, Kuta 80361 Indonesia",Douala,1,Cameroon,Water Parks,7,4.285714285714286,6429,4.646601337688598
73364,29130,2015,10,2,748,4,Couples,5,21,163,9037.0,Warrington,United Kingdom,Western Europe,Europe,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,2,4.0,5815,4.157523645743766
210912,64802,2016,9,4,1297,5,Friends,5,21,162,667.0,Amsterdam,Netherlands,Western Europe,Europe,3,44,Yogyakarta Palace,Yogyakarta,N'Djamena,2,Chad,Historic Sites,3,5.0,798,3.5388471177944862
41884,60151,2017,8,3,650,4,Family,3,14,101,3017.0,Bandung,Indonesia,South East Asia,Asia,1,13,Sanur Beach,Sanur,Douala,1,Cameroon,Beaches,1,4.0,3044,3.97634691195795
26915,44095,2015,6,2,841,5,Couples,5,21,163,4121.0,Croydon,United Kingdom,Western Europe,Europe,1,92,Waterbom Bali,"Jl. Kartika Plaza, Kuta 80361 Indonesia",Douala,1,Cameroon,Water Parks,12,4.083333333333333,6429,4.646601337688598
202226,39243,2016,9,2,1171,5,Couples,2,8,51,1133.0,Greenwich,United States,Northern America,America,3,91,Merapi Volcano,Yogyakarta,N'Djamena,2,Chad,Volcanos,1,5.0,2235,4.079194630872483
6724,6401,2018,8,3,640,5,Family,5,21,163,8341.0,Greater Manchester,United Kingdom,Western Europe,Europe,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,4,3.75,13198,4.267085922109411
51755,38330,2013,4,2,824,5,Couples,4,15,109,5214.0,Tas,Australia,Australia,Australia & Oceania,1,76,Uluwatu Temple,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia",Douala,1,Cameroon,Religious Sites,1,5.0,3359,4.219410538850848
488,71542,2019,12,2,640,5,Couples,4,16,115,5487.0,Auckland,New Zealand,Oceania,Australia & Oceania,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,2,4.0,13198,4.267085922109411
67644,57991,2019,2,2,748,4,Couples,4,15,109,3915.0,Brisbane,Australia,Australia,Australia & Oceania,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,1,4.0,5815,4.157523645743766
145335,61942,2018,1,2,369,4,Couples,5,21,163,8513.0,Leeds,United Kingdom,Western Europe,Europe,1,13,Kuta Beach - Bali,Kuta,Douala,1,Cameroon,Beaches,3,4.666666666666667,2765,3.415189873417721
104925,27017,2018,6,3,737,2,Family,3,14,106,3551.0,Singapore,Singapore,South East Asia,Asia,1,76,Tanah Lot Temple,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia",Douala,1,Cameroon,Religious Sites,3,4.0,3352,4.19480906921241
26640,24260,2016,1,3,841,5,Family,5,21,160,7621.0,Swords,Ireland,Western Europe,Europe,1,92,Waterbom Bali,"Jl. Kartika Plaza, Kuta 80361 Indonesia",Douala,1,Cameroon,Water Parks,3,4.0,6429,4.646601337688598
